"","filename","sentences","wordtypes","swordtypes","lextypes","slextypes","wordtokens","swordtokens","lextokens","slextokens","ld","ls1","ls2","vs1","vs2","cvs1","ndw","ndwz","ndwerz","ndwesz","ttr","msttr","cttr","rttr","logttr","uber","lv","vv1","svv1","cvv1","vv2","nv","adjv","advv","modv"
"1","Anita Hill - Opening Statement",2418,995,563,104,60,31283,26474,8717,8503,0.28,0.98,0.57,0.01,0.18,0.3,995,17,31.2,25.6,0.03,0.53,3.98,5.63,0.67,13.49,0.01,0.02,0.31,0.39,0,0.01,0,0,0.01
"2","Ann Howard Shaw - Fundamental Principle of a Republic",8578,1723,1073,139,90,111201,94065,31226,30214,0.28,0.97,0.62,0.01,0.14,0.27,1723,17,34.4,27.6,0.02,0.53,3.65,5.17,0.64,14.07,0,0.01,0.21,0.33,0,0,0,0,0
"3","Ann Richards - DNC Keynote",2693,1188,715,105,62,34847,29786,9685,9493,0.28,0.98,0.6,0.01,0.17,0.29,1188,17,32.1,25.4,0.03,0.53,4.5,6.36,0.68,14.06,0.01,0.02,0.35,0.42,0,0.01,0,0,0
"4","Arraras22",480,447,280,60,38,6206,5244,1754,1679,0.28,0.96,0.63,0.05,0.65,0.57,447,17,33.2,26.3,0.07,0.52,4.01,5.67,0.7,12.59,0.03,0.08,1.31,0.81,0.01,0.02,0,0.01,0.01
"5","Bachmann138",1882,810,453,93,60,24370,20741,6840,6687,0.28,0.98,0.56,0.01,0.17,0.29,810,17,33.1,25.6,0.03,0.53,3.67,5.19,0.66,13.02,0.01,0.02,0.23,0.34,0,0.01,0,0,0.01
"6","Bachmann145",2081,872,487,72,46,26915,22877,7395,7249,0.27,0.98,0.56,0.01,0.12,0.24,872,17,33.4,27.9,0.03,0.53,3.76,5.32,0.66,13.18,0.01,0.02,0.2,0.31,0,0.01,0,0,0
"7","Bachmann151",1669,861,525,80,51,21603,18344,6029,5874,0.28,0.97,0.61,0.02,0.2,0.31,861,17,33.1,26.3,0.04,0.53,4.14,5.86,0.68,13.42,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"8","Bachmann159",1176,643,365,66,43,15206,12928,4223,4121,0.28,0.98,0.57,0.02,0.27,0.36,643,17,30.6,25.2,0.04,0.52,3.69,5.21,0.67,12.73,0.02,0.03,0.42,0.46,0,0.01,0,0,0
"9","Bachmann167",1194,655,379,63,40,15448,13066,4335,4242,0.28,0.98,0.58,0.02,0.2,0.31,655,17,32.1,25,0.04,0.52,3.73,5.27,0.67,12.78,0.01,0.02,0.24,0.34,0,0.01,0,0,0
"10","Bachmann175",1584,735,426,78,52,20509,17437,5748,5598,0.28,0.97,0.58,0.02,0.2,0.32,735,17,32.1,26,0.04,0.52,3.63,5.13,0.66,12.86,0.01,0.02,0.24,0.35,0,0.01,0,0,0
"11","Bachmann182",1659,774,446,69,47,21471,18277,6103,5980,0.28,0.98,0.58,0.01,0.14,0.27,774,17,32.7,26.5,0.04,0.53,3.74,5.28,0.67,13,0.01,0.02,0.2,0.32,0,0.01,0,0,0
"12","Bachmann190",1058,648,374,70,44,13691,11658,3851,3775,0.28,0.98,0.58,0.03,0.4,0.45,648,17,32.2,26.9,0.05,0.52,3.92,5.54,0.68,12.91,0.02,0.04,0.68,0.58,0,0.01,0,0,0.01
"13","Bachmann199",1484,787,472,66,44,19210,16262,5374,5256,0.28,0.98,0.6,0.02,0.19,0.31,787,17,32.7,27,0.04,0.52,4.02,5.68,0.68,13.22,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"14","Bachmann207",1521,799,452,85,55,19700,16693,5564,5434,0.28,0.98,0.57,0.02,0.22,0.33,799,17,32.9,26,0.04,0.52,4.03,5.69,0.68,13.25,0.02,0.02,0.3,0.39,0,0.01,0,0,0.01
"15","Bachmann215",1668,743,407,76,48,21593,18303,6077,5916,0.28,0.97,0.55,0.02,0.23,0.34,743,17,33.4,26.5,0.03,0.53,3.58,5.06,0.66,12.84,0.01,0.02,0.34,0.41,0,0.01,0,0,0
"16","Bachmann223",1564,820,460,79,51,20230,17235,5732,5568,0.28,0.97,0.56,0.02,0.24,0.35,820,17,32,26.3,0.04,0.52,4.08,5.77,0.68,13.32,0.01,0.02,0.33,0.41,0,0.01,0,0,0
"17","Barbara Bush - Wellesley Commencement",1270,728,412,63,41,16419,14011,4583,4462,0.28,0.97,0.57,0.02,0.23,0.34,728,17,33.9,26.7,0.04,0.52,4.02,5.68,0.68,13.13,0.01,0.02,0.32,0.4,0,0.01,0,0,0
"18","Barbara Jordan - 1976 DNC Address",1985,868,523,78,52,25660,21811,7162,6991,0.28,0.98,0.6,0.02,0.2,0.31,868,17,33.1,25.9,0.03,0.53,3.83,5.42,0.67,13.22,0.01,0.02,0.38,0.44,0,0.01,0,0,0
"19","Barbara Jordan - Statement on Impeachment Articles",1618,898,571,80,52,20930,17979,5918,5798,0.28,0.98,0.64,0.02,0.23,0.34,898,17,33.5,25.7,0.04,0.53,4.39,6.21,0.68,13.65,0.01,0.02,0.36,0.42,0,0.01,0,0,0.01
"20","Barry Goldwater - RNC",3326,1385,891,122,83,43085,36962,12298,12018,0.29,0.98,0.64,0.01,0.21,0.33,1385,17,33.6,26,0.03,0.52,4.72,6.67,0.68,14.39,0.01,0.02,0.41,0.45,0,0,0,0,0
"21","Bauer322",2985,1102,602,101,59,38660,32684,10927,10728,0.28,0.98,0.55,0.01,0.2,0.31,1102,17,31.4,27.6,0.03,0.53,3.96,5.6,0.66,13.62,0.01,0.02,0.41,0.45,0,0,0,0,0
"22","Bauer326",8332,2117,1341,158,93,107949,91679,30402,29739,0.28,0.98,0.63,0.01,0.17,0.29,2117,17,33.7,26.3,0.02,0.53,4.56,6.44,0.66,14.84,0.01,0.01,0.3,0.39,0,0,0,0,0
"23","Bauer331",1694,867,481,82,53,21943,18669,6262,6135,0.29,0.98,0.55,0.02,0.21,0.32,867,17,32.8,27,0.04,0.53,4.14,5.85,0.68,13.43,0.01,0.02,0.42,0.46,0,0.01,0,0,0
"24","Bauer336",977,669,386,60,43,12637,10777,3553,3490,0.28,0.98,0.58,0.03,0.4,0.44,669,17,34.9,26.6,0.05,0.53,4.21,5.95,0.69,13.18,0.02,0.04,0.53,0.51,0,0.01,0,0,0
"25","Bauer344",2020,929,506,86,56,26174,22143,7401,7268,0.28,0.98,0.54,0.01,0.19,0.31,929,17,32.4,26.3,0.04,0.53,4.06,5.74,0.67,13.46,0.01,0.02,0.29,0.38,0,0.01,0,0,0
